Date,Count
Jan-1990,11
Feb-1990,57
Mar-1990,88
Apr-1990,108
May-1990,243
Jun-1990,335
Jul-1990,106
Aug-1990,60
Sep-1990,45
Oct-1990,35
Nov-1990,18
Dec-1990,35
Jan-1991,29
Feb-1991,11
Mar-1991,159
Apr-1991,206
May-1991,335
Jun-1991,216
Jul-1991,65
Aug-1991,46
Sep-1991,26
Oct-1991,22
Nov-1991,20
Dec-1991,3
Jan-1992,15
Feb-1992,29
Mar-1992,55
Apr-1992,53
May-1992,137
Jun-1992,400
Jul-1992,214
Aug-1992,115
Sep-1992,82
Oct-1992,34
Nov-1992,150
Dec-1992,20
Jan-1993,17
Feb-1993,34
Mar-1993,48
Apr-1993,85
May-1993,179
Jun-1993,316
Jul-1993,242
Aug-1993,112
Sep-1993,65
Oct-1993,55
Nov-1993,19
Dec-1993,6
Jan-1994,13
Feb-1994,9
Mar-1994,61
Apr-1994,206
May-1994,161
Jun-1994,236
Jul-1994,155
Aug-1994,120
Sep-1994,30
Oct-1994,51
Nov-1994,42
Dec-1994,4
Jan-1995,36
Feb-1995,7
Mar-1995,49
Apr-1995,130
May-1995,397
Jun-1995,219
Jul-1995,163
Aug-1995,53
Sep-1995,19
Oct-1995,74
Nov-1995,79
Dec-1995,19
Jan-1996,35
Feb-1996,14
Mar-1996,71
Apr-1996,178
May-1996,236
Jun-1996,128
Jul-1996,204
Aug-1996,72
Sep-1996,101
Oct-1996,68
Nov-1996,55
Dec-1996,15
Jan-1997,50
Feb-1997,23
Mar-1997,102
Apr-1997,114
May-1997,225
Jun-1997,194
Jul-1997,189
Aug-1997,84
Sep-1997,32
Oct-1997,101
Nov-1997,25
Dec-1997,12
Jan-1998,47
Feb-1998,72
Mar-1998,72
Apr-1998,182
May-1998,312
Jun-1998,380
Jul-1998,82
Aug-1998,62
Sep-1998,104
Oct-1998,86
Nov-1998,27
Dec-1998,6
Jan-1999,215
Feb-1999,23
Mar-1999,56
Apr-1999,179
May-1999,314
Jun-1999,289
Jul-1999,100
Aug-1999,79
Sep-1999,56
Oct-1999,17
Nov-1999,8
Dec-1999,15
Jan-2000,16
Feb-2000,57
Mar-2000,103
Apr-2000,136
May-2000,241
Jun-2000,136
Jul-2000,148
Aug-2000,53
Sep-2000,47
Oct-2000,64
Nov-2000,50
Dec-2000,26
Jan-2001,5
Feb-2001,30
Mar-2001,34
Apr-2001,140
May-2001,240
Jun-2001,249
Jul-2001,120
Aug-2001,69
Sep-2001,85
Oct-2001,119
Nov-2001,111
Dec-2001,22
Jan-2002,3
Feb-2002,2
Mar-2002,47
Apr-2002,118
May-2002,206
Jun-2002,97
Jul-2002,68
Aug-2002,86
Sep-2002,62
Oct-2002,58
Nov-2002,98
Dec-2002,99
Jan-2003,0.1
Feb-2003,18
Mar-2003,43
Apr-2003,159
May-2003,557
Jun-2003,292
Jul-2003,168
Aug-2003,44
Sep-2003,32
Oct-2003,26
Nov-2003,54
Dec-2003,1
Jan-2004,3
Feb-2004,9
Mar-2004,50
Apr-2004,125
May-2004,510
Jun-2004,270
Jul-2004,125
Aug-2004,179
Sep-2004,300
Oct-2004,79
Nov-2004,152
Dec-2004,27
Jan-2005,33
Feb-2005,10
Mar-2005,62
Apr-2005,132
May-2005,122
Jun-2005,317
Jul-2005,138
Aug-2005,123
Sep-2005,133
Oct-2005,18
Nov-2005,152
Dec-2005,26
Jan-2006,47
Feb-2006,12
Mar-2006,152
Apr-2006,251
May-2006,141
Jun-2006,120
Jul-2006,71
Aug-2006,80
Sep-2006,86
Oct-2006,76
Nov-2006,43
Dec-2006,42
Jan-2007,21
Feb-2007,53
Mar-2007,175
Apr-2007,168
May-2007,253
Jun-2007,128
Jul-2007,69
Aug-2007,74
Sep-2007,52
Oct-2007,86
Nov-2007,7
Dec-2007,19
Jan-2008,86
Feb-2008,151
Mar-2008,130
Apr-2008,190
May-2008,467
Jun-2008,294
Jul-2008,99
Aug-2008,102
Sep-2008,111
Oct-2008,21
Nov-2008,15
Dec-2008,46
Jan-2009,6
Feb-2009,37
Mar-2009,116
Apr-2009,230
May-2009,201
Jun-2009,272
Jul-2009,123
Aug-2009,61
Sep-2009,8
Oct-2009,64
Nov-2009,3
Dec-2009,49
Jan-2010,31
Feb-2010,1
Mar-2010,33
Apr-2010,143
May-2010,309
Jun-2010,323
Jul-2010,146
Aug-2010,56
Sep-2010,58
Oct-2010,109
Nov-2010,54
Dec-2010,34
Jan-2011,16
Feb-2011,65
Mar-2011,75
Apr-2011,783
May-2011,331
Jun-2011,160
Jul-2011,102
Aug-2011,59
Sep-2011,52
Oct-2011,23
Nov-2011,49
Dec-2011,15
Jan-2012,79
Feb-2012,59
Mar-2012,160
Apr-2012,205
May-2012,121
Jun-2012,111
Jul-2012,37
Aug-2012,38
Sep-2012,39
Oct-2012,37
Nov-2012,7
Dec-2012,53
Jan-2013,78
Feb-2013,39
Mar-2013,18
Apr-2013,87
May-2013,273
Jun-2013,124
Jul-2013,72
Aug-2013,45
Sep-2013,21
Oct-2013,66
Nov-2013,81
Dec-2013,19
Jan-2014,4
Feb-2014,42
Mar-2014,20
Apr-2014,134
May-2014,130
Jun-2014,289
Jul-2014,86
Aug-2014,33
Sep-2014,41
Oct-2014,73
Nov-2014,24
Dec-2014,20
Jan-2015,28
Feb-2015,3
Mar-2015,11
Apr-2015,175
May-2015,385
Jun-2015,186
Jul-2015,117
Aug-2015,45
Sep-2015,17
Oct-2015,40
Nov-2015,102
Dec-2015,85
Jan-2016,17
Feb-2016,104
Mar-2016,88
Apr-2016,141
May-2016,218
Jun-2016,86
Jul-2016,110
Aug-2016,90
Sep-2016,39
Oct-2016,21
Nov-2016,50
Dec-2016,19
Jan-2017,138
Feb-2017,71
Mar-2017,194
Apr-2017,220
May-2017,293
Jun-2017,150
Jul-2017,83
Aug-2017,117
Sep-2017,51
Oct-2017,77
Nov-2017,43
Dec-2017,13
Jan-2018,15
Feb-2018,51
Mar-2018,56
Apr-2018,132
May-2018,171
Jun-2018,155
Jul-2018,92
Aug-2018,81
Sep-2018,109
Oct-2018,123
Nov-2018,84
Dec-2018,66
